Researcher,W-Box,H-Box,Length-Small-Left,Length-Small-Center,Length-Small-Right,Angle-Small-Left,Angle-Small-Right,Length-Large-Left,Length-Large-Center,Length-Large-Right,Angle-Large-Left,Angle-Large-Right
1,201,235,159.6997182,213.1149924,217.8485713,20.186,33.778,163.4135857,235.1042322,222.2656069,19.835,33.772
2,210,236,168.8608895,229.7868578,214.0093456,18.634,32.662,170.8478856,232.776717,216.2059204,17.680,32.612
3,210,253,183.5755975,243.4625228,233.893138,25.825,23.142,189.6444041,254.1967742,246.8623098,23.365,24.207
4,224,247,180.3357979,241.0518616,245.7335956,23.387,32.696,186.0752536,246.0731599,249.3391265,24.066,32.484
5,219,252,185.6475155,247.1295207,237.1349827,23.330,31.969,191.0235588,252.1606631,244.6242016,23.044,31.450
6,191,252,191.8567174,248.0020161,220.4835595,26.067,25.869,196.773982,252,226.7531698,26.565,25.887
7,228,256,190.5177157,251.001992,253.6631625,25.933,31.394,193.6853118,255.007843,257.7925523,24.925,31.391
8,243,249,209.3537676,240.0520777,237.4973684,26.718,34.036,214.7091055,249.008032,250.1999201,24.911,34.119
9,240,247,207.0676218,241,250.1919263,26.070,32.928,213.8597671,247.0506021,258.2421344,23.728,31.669
10,219,238,169.8057714,229.2640399,215.9282288,27.288,28.805,187.6645944,238.5372088,220.2044505,25.861,27.028
11,223,272,182.463695,264.6828291,224.401426,22.589,32.549,189.1718795,272.5307322,231.0086578,23.124,32.798
12,229,250,176.663522,240.0520777,243.2488438,26.097,33.085,186.9358179,249.002008,250.7369139,26.472,32.890
13,229,249,196.3288058,244.2949038,252.1031535,23.488,28.226,200.8008964,248.3404921,259.8557292,23.309,27.018
14,225,246,180.709712,243.2961159,242.6272862,24.872,26.273,187.8829423,247.1295207,261.8797434,26.074,28.921
15,220,249,192.8367185,245.1652504,235.8346879,22.734,26.526,197.7978766,249.1625975,249.9539958,22.422,30.348
16,231,254,183.6572895,247.655002,268.5442235,17.228,30.824,191.2694435,254.7096386,277.7210831,17.190,30.900
